"Anno di Interesse";"Territorio";"Tipo Misura";"Importo"
"2023";"ABRUZZO";"Spesa Complessiva - in rapporto al PIL (%)";"42.67"
"2023";"ABRUZZO";"Spesa Complessiva - per abitante (Euro)";"13232.01"
"2023";"ABRUZZO";"Spesa Complessiva - per Kmq (Euro)";"1552589.36"
"2023";"ABRUZZO";"Spesa Complessiva - Valori Assoluti (mln)";"16819.20"
"2023";"BASILICATA";"Spesa Complessiva - in rapporto al PIL (%)";"46.08"
"2023";"BASILICATA";"Spesa Complessiva - per abitante (Euro)";"12709.70"
"2023";"BASILICATA";"Spesa Complessiva - per Kmq (Euro)";"675525.17"
"2023";"BASILICATA";"Spesa Complessiva - Valori Assoluti (mln)";"6804.84"
"2023";"CALABRIA";"Spesa Complessiva - in rapporto al PIL (%)";"59.45"
"2023";"CALABRIA";"Spesa Complessiva - per abitante (Euro)";"12583.50"
"2023";"CALABRIA";"Spesa Complessiva - per Kmq (Euro)";"1523024.10"
"2023";"CALABRIA";"Spesa Complessiva - Valori Assoluti (mln)";"23186.21"
"2023";"CAMPANIA";"Spesa Complessiva - in rapporto al PIL (%)";"47.38"
"2023";"CAMPANIA";"Spesa Complessiva - per abitante (Euro)";"11057.30"
"2023";"CAMPANIA";"Spesa Complessiva - per Kmq (Euro)";"4530420.27"
"2023";"CAMPANIA";"Spesa Complessiva - Valori Assoluti (mln)";"61939.91"
"2023";"CENTRO";"Spesa Complessiva - in rapporto al PIL (%)";"38.07"
"2023";"CENTRO";"Spesa Complessiva - per abitante (Euro)";"14765.17"
"2023";"CENTRO";"Spesa Complessiva - per Kmq (Euro)";"2981255.06"
"2023";"CENTRO";"Spesa Complessiva - Valori Assoluti (mln)";"173005.81"
"2023";"EMILIA-ROMAGNA";"Spesa Complessiva - in rapporto al PIL (%)";"31.32"
"2023";"EMILIA-ROMAGNA";"Spesa Complessiva - per abitante (Euro)";"13572.39"
"2023";"EMILIA-ROMAGNA";"Spesa Complessiva - per Kmq (Euro)";"2680726.71"
"2023";"EMILIA-ROMAGNA";"Spesa Complessiva - Valori Assoluti (mln)";"60326.00"
"2023";"FRIULI-VENEZIA GIULIA";"Spesa Complessiva - in rapporto al PIL (%)";"44.86"
"2023";"FRIULI-VENEZIA GIULIA";"Spesa Complessiva - per abitante (Euro)";"16914.86"
"2023";"FRIULI-VENEZIA GIULIA";"Spesa Complessiva - per Kmq (Euro)";"2546529.17"
"2023";"FRIULI-VENEZIA GIULIA";"Spesa Complessiva - Valori Assoluti (mln)";"20203.65"
"2023";"ISOLE";"Spesa Complessiva - in rapporto al PIL (%)";"54.27"
"2023";"ISOLE";"Spesa Complessiva - per abitante (Euro)";"12881.31"
"2023";"ISOLE";"Spesa Complessiva - per Kmq (Euro)";"1645767.81"
"2023";"ISOLE";"Spesa Complessiva - Valori Assoluti (mln)";"82182.57"
"2023";"ITALIA";"Spesa Complessiva - in rapporto al PIL (%)";"36.47"
"2023";"ITALIA";"Spesa Complessiva - per abitante (Euro)";"13176.94"
"2023";"ITALIA";"Spesa Complessiva - per Kmq (Euro)";"2572727.95"
"2023";"ITALIA";"Spesa Complessiva - Valori Assoluti (mln)";"777232.95"
"2023";"LAZIO";"Spesa Complessiva - in rapporto al PIL (%)";"40.06"
"2023";"LAZIO";"Spesa Complessiva - per abitante (Euro)";"16867.67"
"2023";"LAZIO";"Spesa Complessiva - per Kmq (Euro)";"5596526.54"
"2023";"LAZIO";"Spesa Complessiva - Valori Assoluti (mln)";"96443.26"
"2023";"LIGURIA";"Spesa Complessiva - in rapporto al PIL (%)";"37.65"
"2023";"LIGURIA";"Spesa Complessiva - per abitante (Euro)";"14222.08"
"2023";"LIGURIA";"Spesa Complessiva - per Kmq (Euro)";"3959764.50"
"2023";"LIGURIA";"Spesa Complessiva - Valori Assoluti (mln)";"21452.42"
"2023";"LOMBARDIA";"Spesa Complessiva - in rapporto al PIL (%)";"24.93"
"2023";"LOMBARDIA";"Spesa Complessiva - per abitante (Euro)";"12220.24"
"2023";"LOMBARDIA";"Spesa Complessiva - per Kmq (Euro)";"5116673.23"
"2023";"LOMBARDIA";"Spesa Complessiva - Valori Assoluti (mln)";"122133.97"
"2023";"MARCHE";"Spesa Complessiva - in rapporto al PIL (%)";"38.71"
"2023";"MARCHE";"Spesa Complessiva - per abitante (Euro)";"12866.85"
"2023";"MARCHE";"Spesa Complessiva - per Kmq (Euro)";"2042441.68"
"2023";"MARCHE";"Spesa Complessiva - Valori Assoluti (mln)";"19088.25"
"2023";"MOLISE";"Spesa Complessiva - in rapporto al PIL (%)";"51.51"
"2023";"MOLISE";"Spesa Complessiva - per abitante (Euro)";"13815.65"
"2023";"MOLISE";"Spesa Complessiva - per Kmq (Euro)";"897848.19"
"2023";"MOLISE";"Spesa Complessiva - Valori Assoluti (mln)";"4005.57"
"2023";"NORD-EST";"Spesa Complessiva - in rapporto al PIL (%)";"32.37"
"2023";"NORD-EST";"Spesa Complessiva - per abitante (Euro)";"13767.36"
"2023";"NORD-EST";"Spesa Complessiva - per Kmq (Euro)";"2553065.42"
"2023";"NORD-EST";"Spesa Complessiva - Valori Assoluti (mln)";"159288.30"
"2023";"NORD-OVEST";"Spesa Complessiva - in rapporto al PIL (%)";"28.89"
"2023";"NORD-OVEST";"Spesa Complessiva - per abitante (Euro)";"12896.62"
"2023";"NORD-OVEST";"Spesa Complessiva - per Kmq (Euro)";"3533981.99"
"2023";"NORD-OVEST";"Spesa Complessiva - Valori Assoluti (mln)";"204763.16"
"2023";"PIEMONTE";"Spesa Complessiva - in rapporto al PIL (%)";"37.56"
"2023";"PIEMONTE";"Spesa Complessiva - per abitante (Euro)";"13799.45"
"2023";"PIEMONTE";"Spesa Complessiva - per Kmq (Euro)";"2310453.84"
"2023";"PIEMONTE";"Spesa Complessiva - Valori Assoluti (mln)";"58668.20"
"2023";"PUGLIA";"Spesa Complessiva - in rapporto al PIL (%)";"49.13"
"2023";"PUGLIA";"Spesa Complessiva - per abitante (Euro)";"11601.79"
"2023";"PUGLIA";"Spesa Complessiva - per Kmq (Euro)";"2314879.85"
"2023";"PUGLIA";"Spesa Complessiva - Valori Assoluti (mln)";"45237.38"
"2023";"SARDEGNA";"Spesa Complessiva - in rapporto al PIL (%)";"58.04"
"2023";"SARDEGNA";"Spesa Complessiva - per abitante (Euro)";"15316.04"
"2023";"SARDEGNA";"Spesa Complessiva - per Kmq (Euro)";"1000441.43"
"2023";"SARDEGNA";"Spesa Complessiva - Valori Assoluti (mln)";"24112.04"
"2023";"SICILIA";"Spesa Complessiva - in rapporto al PIL (%)";"52.84"
"2023";"SICILIA";"Spesa Complessiva - per abitante (Euro)";"12083.71"
"2023";"SICILIA";"Spesa Complessiva - per Kmq (Euro)";"2247807.32"
"2023";"SICILIA";"Spesa Complessiva - Valori Assoluti (mln)";"58070.53"
"2023";"SUD";"Spesa Complessiva - in rapporto al PIL (%)";"48.80"
"2023";"SUD";"Spesa Complessiva - per abitante (Euro)";"11755.51"
"2023";"SUD";"Spesa Complessiva - per Kmq (Euro)";"2140668.49"
"2023";"SUD";"Spesa Complessiva - Valori Assoluti (mln)";"157993.11"
"2023";"TOSCANA";"Spesa Complessiva - in rapporto al PIL (%)";"33.45"
"2023";"TOSCANA";"Spesa Complessiva - per abitante (Euro)";"12630.41"
"2023";"TOSCANA";"Spesa Complessiva - per Kmq (Euro)";"2011613.56"
"2023";"TOSCANA";"Spesa Complessiva - Valori Assoluti (mln)";"46243.17"
"2023";"TRENTINO-ALTO ADIGE/SÜDTIROL";"Spesa Complessiva - in rapporto al PIL (%)";"35.78"
"2023";"TRENTINO-ALTO ADIGE/SÜDTIROL";"Spesa Complessiva - per abitante (Euro)";"19046.97"
"2023";"TRENTINO-ALTO ADIGE/SÜDTIROL";"Spesa Complessiva - per Kmq (Euro)";"1511822.94"
"2023";"TRENTINO-ALTO ADIGE/SÜDTIROL";"Spesa Complessiva - Valori Assoluti (mln)";"20569.26"
"2023";"UMBRIA";"Spesa Complessiva - in rapporto al PIL (%)";"42.88"
"2023";"UMBRIA";"Spesa Complessiva - per abitante (Euro)";"13139.84"
"2023";"UMBRIA";"Spesa Complessiva - per Kmq (Euro)";"1326834.20"
"2023";"UMBRIA";"Spesa Complessiva - Valori Assoluti (mln)";"11231.12"
"2023";"VALLE D'AOSTA/VALLÉE D'AOSTE";"Spesa Complessiva - in rapporto al PIL (%)";"43.57"
"2023";"VALLE D'AOSTA/VALLÉE D'AOSTE";"Spesa Complessiva - per abitante (Euro)";"20394.22"
"2023";"VALLE D'AOSTA/VALLÉE D'AOSTE";"Spesa Complessiva - per Kmq (Euro)";"769193.65"
"2023";"VALLE D'AOSTA/VALLÉE D'AOSTE";"Spesa Complessiva - Valori Assoluti (mln)";"2508.57"
"2023";"VENETO";"Spesa Complessiva - in rapporto al PIL (%)";"29.54"
"2023";"VENETO";"Spesa Complessiva - per abitante (Euro)";"11995.62"
"2023";"VENETO";"Spesa Complessiva - per Kmq (Euro)";"3171429.68"
"2023";"VENETO";"Spesa Complessiva - Valori Assoluti (mln)";"58189.39"
